"corpus_string","Freq"
"and",4748
"the",4572
"i",4129
"to",3536
"a",2326
"of",2224
"he",2134
"you",1895
"her",1551
"in",1484
"his",1424
"it",1391
"",1370
"she",1338
"that",1250
"was",1127
"my",1106
"me",1065
"not",938
"as",936
"him",927
"for",843
"s",835
"on",819
"with",806
"at",785
"be",727
"had",689
"but",687
"is",654
"have",633
"t",626
"from",486
"heathcliff",476
"by",454
"if",447
"would",443
"your",408
"linton",406
"no",393
"catherine",382
"said",375
"ll",370
"so",359
"were",352
"we",343
"there",323
"up",323
"an",321
"mr",312
"out",312
"or",311
"what",310
"when",309
"they",303
"are",299
"this",296
"one",291
"then",288
"all",285
"could",281
"into",273
"do",256
"should",247
"will",242
"did",241
"now",234
"them",232
"how",229
"been",223
"more",218
"master",205
"than",199
"shall",196
"m",194
"come",190
"must",187
"which",185
"don",182
"never",181
"us",181
"can",180
"hareton",179
"go",178
"little",178
"down",174
"see",174
"over",167
"after",166
"has",165
"its",159
"about",158
"answered",156
"like",156
"some",156
"before",155
"who",155
"till",151
"only",148
"their",147
"house",144
"any",140
"joseph",140
"let",140
"again",136
"too",136
"here",135
"well",135
"door",133
"mrs",133
"earnshaw",131
"might",131
"miss",131
"very",131
"ve",130
"off",128
"father",127
"time",127
"himself",125
"cathy",124
"know",123
"tell",122
"though",122
"where",122
"back",121
"get",120
"being",118
"thought",118
"good",117
"own",117
"replied",117
"edgar",116
"eyes",116
"first",116
"myself",115
"other",115
"take",115
"cried",114
"while",114
"think",113
"our",112
"may",110
"nothing",110
"d",109
"day",108
"two",108
"say",107
"young",107
"came",106
"oh",106
"asked",105
"last",105
"make",105
"yet",105
"night",104
"such",103
"made",102
"face",101
"room",101
"ellen",99
"heights",99
"look",99
"still",99
"am",98
"because",97
"long",97
"much",97
"why",97
"took",96
"hand",94
"head",93
"home",91
"man",91
"love",90
"going",89
"nelly",89
"went",88
"away",87
"grange",87
"half",87
"another",86
"through",86
"put",85
"under",84
"heart",83
"better",82
"every",82
"old",82
"hindley",80
"saw",80
"way",80
"got",79
"heard",79
"told",79
"having",78
"once",77
"wish",77
"both",76
"cannot",76
"just",76
"won",76
"exclaimed",75
"looked",75
"mind",75
"place",75
"rather",75
"papa",74
"fire",73
"soon",73
"those",73
"began",72
"left",72
"hear",71
"herself",71
"lady",70
"against",69
"ever",69
"keep",69
"seemed",69
"give",68
"bed",67
"continued",67
"kitchen",67
"leave",67
"cousin",65
"however",65
"nor",65
"great",63
"isabella",63
"re",63
"round",63
"done",62
"evening",62
"felt",62
"morning",62
"returned",62
"set",62
"since",62
"whole",62
"wuthering",62
"alone",61
"without",61
"window",60
"hands",59
"hour",59
"speak",59
"side",57
"child",56
"coming",56
"does",56
"enough",56
"mine",56
"open",56
"yes",56
"life",55
"o",55
"three",55
"whether",55
"ill",54
"always",53
"sat",53
"thing",53
"didn",52
"mistress",52
"poor",52
"right",52
"stairs",52
"gone",51
"something",51
"want",51
"between",50
"chair",50
"sit",50
"answer",49
"dean",49
"even",49
"next",49
"stay",49
"talk",49
"these",49
"brought",48
"entered",48
"found",48
"quite",48
"same",48
"almost",47
"care",47
"death",47
"else",47
"sure",47
"word",47
"wouldn",47
"each",46
"far",46
"gave",46
"present",46
"turn",46
"ye",46
"years",46
"bad",45
"words",45
"among",44
"hardly",44
"light",44
"near",44
"perhaps",44
"servant",44
"towards",44
"world",44
"also",43
"bear",43
"black",43
"sir",43
"stood",43
"walk",43
"few",42
"god",42
"lad",42
"lay",42
"people",42
"return",42
"table",42
"yourself",42
"hope",41
"minute",41
"observed",41
"son",41
"together",41
"bid",40
"dead",40
"further",40
"least",40
"looking",40
"neither",40
"road",40
"seen",40
"turned",40
